film,zanr
72271,Horror
72288,Comedy
72288,Crime
72288,Drama
72417,Drama
72417,Romance
72431,Comedy
72500,Comedy
72684,Adventure
72684,Drama
72684,History
72783,Comedy
72783,Drama
72783,Romance
73000,Animation
73000,Comedy
73000,Family
73195,Adventure
73195,Thriller
73440,Comedy
73440,Drama
73440,Music
73486,Drama
73580,Drama
73580,Thriller
73629,Comedy
73629,Horror
73629,Musical
73631,Action
73631,Sci-Fi
73631,Sport
73650,Drama
73650,Horror
73692,Comedy
73692,Drama
73705,Horror
73705,Sci-Fi
73707,Action
73707,Adventure
73707,Comedy
73802,Crime
73802,Mystery
73802,Thriller
73812,Drama
73812,Musical
73972,Action
73972,Adventure
73972,Crime
74028,Comedy
74028,Family
74028,Music
74084,Drama
74084,History
74102,Drama
74102,Romance
74119,Drama
74119,History
74119,Thriller
74174,Comedy
74174,Drama
74174,Family
74285,Horror
74285,Mystery
74486,Fantasy
74486,Horror
74486,Thriller
74512,Comedy
74512,Crime
74512,Drama
74695,Drama
74695,War
74749,Crime
74749,Drama
74749,Thriller
74751,Adventure
74751,Horror
74812,Action
74812,Adventure
74812,Sci-Fi
74851,Drama
74851,Sci-Fi
74958,Drama
75005,Horror
75005,Mystery
75029,Western
75066,Comedy
75066,Crime
75147,Adventure
75147,Drama
75147,Romance
75148,Drama
75148,Sport
75213,Drama
75213,Romance
75213,Western
75314,Crime
75314,Drama
75675,Crime
75675,Drama
75675,Mystery
75686,Comedy
75686,Romance
75784,Drama
75784,History
75784,War
75824,Comedy
75824,Drama
75860,Drama
75860,Sci-Fi
75925,Adventure
75925,Mystery
75925,Thriller
75968,Drama
75968,War
76009,Horror
76054,Comedy
76054,Family
76054,Fantasy
76070,Action
76070,Crime
76070,Thriller
76085,Drama
76095,Comedy
76095,Drama
76095,Romance
76162,Comedy
76162,Horror
76538,Adventure
76538,Animation
76538,Comedy
76666,Drama
76666,Music
76734,Drama
76734,Romance
76734,Thriller
76740,Adventure
76740,Drama
76740,Thriller
76752,Action
76752,Adventure
76752,Thriller
76759,Action
76759,Adventure
76759,Fantasy
76786,Horror
77031,Action
77031,Adventure
77031,Drama
77089,Comedy
77362,Drama
77362,Romance
77362,War
77394,Horror
77402,Horror
77402,Thriller
77405,Drama
77405,Romance
77413,Crime
77413,Drama
77413,Mystery
77416,Drama
77416,War
77474,Action
77474,Crime
77474,Thriller
77523,Action
77523,Comedy
77594,Action
77594,Crime
77594,Drama
77651,Horror
77651,Thriller
77663,Comedy
77663,Fantasy
77663,Romance
77711,Drama
77711,Music
77745,Horror
77745,Sci-Fi
77766,Adventure
77766,Horror
77766,Thriller
77869,Adventure
77869,Animation
77869,Fantasy
77928,Biography
77928,Crime
77928,Drama
77975,Comedy
78346,Action
78346,Adventure
78346,Drama
78492,Action
78492,Adventure
78492,Drama
78607,Action
78607,Comedy
78718,Crime
78718,Drama
78718,Thriller
78723,Action
78723,Comedy
78723,War
78748,Horror
78748,Sci-Fi
78754,Drama
78754,Music
78754,Musical
78788,Drama
78788,Mystery
78788,War
78841,Comedy
78841,Drama
78869,Action
78869,Sci-Fi
78872,Adventure
78872,Family
78872,Sport
78875,Drama
78875,War
78902,Comedy
78902,Drama
78902,Sport
78935,Adventure
78935,Horror
78966,Drama
78966,Thriller
79095,Drama
79116,Action
79116,Biography
79116,Crime
79367,Comedy
79417,Drama
79470,Comedy
79501,Action
79501,Adventure
79501,Sci-Fi
79522,Comedy
79522,Drama
79522,Romance
79574,Action
79574,Adventure
79574,Sci-Fi
79579,Comedy
79579,Drama
79579,Romance
79817,Drama
79817,Sport
79833,Action
79833,Adventure
79833,Animation
79944,Drama
79944,Sci-Fi
79945,Adventure
79945,Mystery
79945,Sci-Fi
80120,Action
80120,Crime
80120,Thriller
80240,Action
80240,Adventure
80240,Crime
80310,Drama
80310,History
80310,War
80319,Comedy
80365,Crime
80365,Drama
80365,Mystery
80391,Adventure
80391,Comedy
80391,Horror
80453,Adventure
80453,Drama
80453,Romance
80455,Action
80455,Adventure
80455,Comedy
80487,Comedy
80487,Sport
80516,Horror
80516,Mystery
80569,Crime
80569,Drama
80569,Mystery
80610,Drama
80610,Romance
80610,War
80684,Action
80684,Adventure
80684,Fantasy
80736,Action
80736,Adventure
80736,Sci-Fi
80745,Action
80745,Adventure
80745,Sci-Fi
80749,Horror
80749,Thriller
80761,Horror
80761,Mystery
80761,Thriller
80801,Adventure
80801,Comedy
80923,Horror
81059,Biography
81059,Drama
81059,History
81283,Drama
81353,Adventure
81353,Comedy
81353,Family
81375,Comedy
81375,War
81398,Biography
81398,Drama
81398,Sport
81455,Horror
81455,Sci-Fi
81455,Thriller
81505,Drama
81505,Horror
81529,Action
81529,Adventure
81529,Comedy
81554,Comedy
81554,Drama
81573,Action
81573,Adventure
81573,Sci-Fi
81777,Fantasy
81777,Musical
81777,Romance
81974,Drama
81974,Romance
81974,Thriller
82010,Comedy
82010,Horror
82085,Crime
82085,Drama
82085,Mystery
82158,Biography
82158,Drama
